Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
33986.0,2.309056,89.75943,NA,NA,TRUE,FALSE
33998.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34010.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34023.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34046.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34058.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34072.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34095.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34106.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34131.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34143.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34155.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34179.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34192.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34204.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34227.0,2.309056,89.75943,5.081932,72.123515,FALSE,NA,
34240.0,2.309056,89.737556,5.08192,72.123067,FALSE,NA,
34264.0,2.309056,88.942688,5.081473,72.106729,FALSE,NA,
34276.0,2.330929,88.082069,5.081011,72.088967,FALSE,NA,
34289.0,2.412893,86.621368,5.080281,72.058652,FALSE,NA,
34313.0,2.693948,82.997284,5.078759,71.982646,FALSE,NA,
34325.0,2.926912,80.856911,5.078057,71.937316,FALSE,NA,
34337.0,3.226564,78.759209,5.077511,71.89264,FALSE,NA,
34361.0,3.880923,74.995895,5.076886,71.812056,FALSE,NA,
34373.0,4.175113,73.709549,5.076778,71.78443,FALSE,NA,
34399.0,4.720826,71.734818,5.076715,71.741986,FALSE,NA,
34411.0,4.980994,71.216881,5.076719,71.730852,FALSE,NA,
34423.0,5.088897,70.846962,5.076728,71.7229,FALSE,NA,
34447.0,5.212788,70.655998,5.076734,71.718796,FALSE,NA,
34459.0,5.234661,70.7686,5.07673,71.721216,FALSE,NA,
34471.0,5.234661,70.918556,5.076726,71.724439,FALSE,NA,
34496.0,5.256534,71.096489,5.076722,71.728264,FALSE,NA,
34508.0,5.256534,71.118362,5.076721,71.728734,FALSE,NA,
34520.0,5.234661,71.140236,5.076721,71.729205,FALSE,NA,
34545.0,5.234661,71.205856,5.07672,71.730615,FALSE,NA,
34558.0,5.212788,71.295334,5.076718,71.732539,FALSE,NA,
34581.0,5.212788,71.339081,5.076718,71.733479,FALSE,NA,
34593.0,5.212788,71.339081,5.076718,71.733479,FALSE,NA,
34605.0,5.212788,71.339081,5.076718,71.733479,FALSE,NA,
34629.0,5.212788,71.339081,5.076718,71.733479,FALSE,NA,
34641.0,5.212788,71.339081,5.076718,71.733479,FALSE,NA,
34653.0,5.212788,71.339081,5.076718,71.733479,TRUE,TRUE
34665.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34678.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34690.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34714.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34726.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34738.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34762.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34774.0,5.212788,71.339081,0.302704,87.638527,FALSE,NA,
34798.0,5.190915,71.444771,0.3027,87.640822,FALSE,NA,
34810.0,5.170268,71.526947,0.302698,87.642608,FALSE,NA,
34822.0,5.149723,71.613953,0.302695,87.644499,FALSE,NA,
